candidate_id,previous_period,period,provider,provider_name,code_a,code_b,before_a,after_a,change_a,before_b,after_b,change_b,absolute_change_ratio,paired_net_change,target_code,target_change_share_national_pct,classification,disposition
RC1864,2025-10,2025-11,NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",C_101,C_120,5,2,-3,0,3,3,1.0,0,C_120,0.0005098321122854,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1865,2024-09,2024-10,NT431,RUNNYMEDE HOSPITAL,C_301,X06,27,29,2,1,0,-1,0.5,1,C_301,0.000509412672659,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1866,2024-09,2024-10,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,C_301,C_340,44,42,-2,0,1,1,0.5,-1,C_301,0.000509412672659,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1867,2024-09,2024-10,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,C_301,X06,1715,1713,-2,0,1,1,0.5,-1,C_301,0.000509412672659,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1868,2024-09,2024-10,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,C_300,C_301,0,2,2,1125,1123,-2,1.0,0,C_301,0.000509412672659,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1869,2024-09,2024-10,NVC05,EUXTON HALL HOSPITAL,C_301,X05,4,2,-2,0,1,1,0.5,-1,C_301,0.000509412672659,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1870,2024-10,2024-11,NT216,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",C_140,C_301,8,6,-2,0,2,2,1.0,0,C_301,0.0005091545997026,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1871,2024-10,2024-11,NT347,SPIRE FYLDE COAST HOSPITAL,C_301,C_320,14,12,-2,1,3,2,1.0,0,C_301,0.0005091545997026,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1872,2024-10,2024-11,NT216,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",C_101,C_301,18,16,-2,0,2,2,1.0,0,C_301,0.0005091545997026,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1873,2024-10,2024-11,NT440,THORNBURY HOSPITAL,C_301,X06,8,10,2,5,1,-4,0.5,-2,C_301,0.0005091545997026,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1874,2025-08,2025-09,NT405,BISHOPS WOOD HOSPITAL,C_130,X06,19,22,3,7,3,-4,0.75,-1,C_130,0.0005086306137984,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1875,2025-08,2025-09,G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),C_130,X06,370,367,-3,2,5,3,1.0,0,C_130,0.0005086306137984,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1876,2025-08,2025-09,NT443,WINTERBOURNE HOSPITAL,C_100,X06,48,50,2,1,0,-1,0.5,1,C_100,0.0005079623091966,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1877,2025-08,2025-09,AAH,TETBURY HOSPITAL TRUST LTD,C_100,C_340,43,41,-2,0,4,4,0.5,2,C_100,0.0005079623091966,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1878,2025-08,2025-09,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,C_100,C_340,123,125,2,1,0,-1,0.5,1,C_100,0.0005079623091966,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1879,2025-01,2025-02,NVC21,WEST MIDLANDS HOSPITAL,C_301,X06,3,5,2,10,7,-3,0.6666666666666666,-1,C_301,0.0005073566717402,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1880,2025-04,2025-05,NT30A,SPIRE NOTTINGHAM HOSPITAL,C_100,X05,66,64,-2,0,1,1,0.5,-1,C_100,0.0005073206367888,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1881,2025-04,2025-05,NT431,RUNNYMEDE HOSPITAL,C_100,X06,21,19,-2,0,1,1,0.5,-1,C_100,0.0005073206367888,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1882,2025-04,2025-05,NT404,BEAUMONT HOSPITAL,C_100,C_301,354,352,-2,2,4,2,1.0,0,C_100,0.0005073206367888,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1883,2025-04,2025-05,NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",C_100,C_301,117,119,2,3,1,-2,1.0,0,C_100,0.0005073206367888,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1884,2025-05,2025-06,NT410,CHILTERN HOSPITAL,C_100,C_400,25,23,-2,0,1,1,0.5,-1,C_100,0.0005063432146211,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1885,2025-06,2025-07,NT437,SLOANE HOSPITAL,C_100,C_150,102,100,-2,3,6,3,0.6666666666666666,1,C_100,0.0005061753391374,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1886,2025-02,2025-03,NT216,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",C_301,X06,9,7,-2,1,2,1,0.5,-1,C_301,0.0005060703134093,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1887,2025-05,2025-06,R1F,ISLE OF WIGHT NHS TRUST,C_320,X03,851,849,-2,1,5,4,0.5,2,C_320,0.000505935892863,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1888,2025-07,2025-08,NT430,RIDGEWAY HOSPITAL,C_100,X06,98,96,-2,0,1,1,0.5,-1,C_100,0.0005057017876558,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1889,2025-07,2025-08,NT430,RIDGEWAY HOSPITAL,C_100,C_120,98,96,-2,0,1,1,0.5,-1,C_100,0.0005057017876558,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1890,2024-12,2025-01,NT417,GORING HALL HOSPITAL,C_301,X06,48,46,-2,0,4,4,0.5,2,C_301,0.0005052265688548,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1891,2024-12,2025-01,NT417,GORING HALL HOSPITAL,C_301,C_400,48,46,-2,0,1,1,0.5,-1,C_301,0.0005052265688548,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1892,2026-04,2026-05,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,C_120,X03,6,3,-3,1,4,3,1.0,0,C_120,0.0005047692279218,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1893,2024-11,2024-12,NT417,GORING HALL HOSPITAL,C_301,X06,46,48,2,3,0,-3,0.6666666666666666,-1,C_301,0.00050423303634,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1894,2024-11,2024-12,NVC07,FULWOOD HALL HOSPITAL,C_301,X06,11,9,-2,0,2,2,1.0,0,C_301,0.00050423303634,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
RC1895,2025-03,2025-04,NT402,BATH CLINIC,C_100,C_120,35,37,2,1,0,-1,0.5,1,C_100,0.0005037732617303,possible recoding or service mix change; cause unconfirmed,caveat; preserve reported codes
