period,kind,part,code,total,open_count,closed_share,p50_band_lower,p75_band_lower,p92_band_lower,p95_band_lower,band_count
2025-11,monthly,Part_2,C_130,597880,3,0.9999949822706896,9,20,34,39,105
2025-11,monthly,Part_2,C_301,375368,2,0.9999946718953134,11,23,38,42,105
2025-11,monthly,Part_2,C_320,383624,2,0.9999947865618418,12,24,38,42,105
2025-11,monthly,Part_2,C_400,216244,0,1.0,14,26,41,45,105
2025-12,monthly,Part_2,C_999,7199624,223,0.9999690261602552,13,25,40,45,105
2025-12,monthly,Part_2,C_100,385548,8,0.999979250313839,14,26,41,46,105
2025-12,monthly,Part_2,C_110,844356,14,0.9999834193160232,14,27,42,47,105
2025-12,monthly,Part_2,C_120,589602,73,0.9998761876655778,16,30,44,47,105
2025-12,monthly,Part_2,C_130,601191,2,0.9999966732702252,10,20,35,39,105
2025-12,monthly,Part_2,C_301,381239,14,0.9999632776289938,12,23,38,42,105
2025-12,monthly,Part_2,C_320,386709,22,0.9999431096767852,13,24,38,42,105
2025-12,monthly,Part_2,C_400,219866,1,0.999995451775172,15,27,41,45,105
2026-01,monthly,Part_2,C_999,7155958,200,0.9999720512613406,13,25,40,44,105
2026-01,monthly,Part_2,C_100,386068,7,0.999981868479128,14,26,41,46,105
2026-01,monthly,Part_2,C_110,836764,35,0.9999581721967006,15,27,42,46,105
2026-01,monthly,Part_2,C_120,587673,50,0.9999149186707572,16,30,44,48,105
2026-01,monthly,Part_2,C_130,596635,5,0.9999916196669656,11,20,35,39,105
2026-01,monthly,Part_2,C_301,383007,7,0.9999817235716318,12,23,37,42,105
2026-01,monthly,Part_2,C_320,383680,25,0.9999348415346122,12,23,37,42,105
2026-01,monthly,Part_2,C_400,216423,0,1.0,15,27,41,45,105
2026-02,monthly,Part_2,C_999,7124952,189,0.9999734735055056,13,24,39,43,105
2026-02,monthly,Part_2,C_100,384999,5,0.9999870129532804,13,25,40,45,105
2026-02,monthly,Part_2,C_110,829478,42,0.9999493657456858,14,26,41,46,105
2026-02,monthly,Part_2,C_120,586374,33,0.9999437219249148,15,28,43,47,105
2026-02,monthly,Part_2,C_130,600584,2,0.9999966699079562,10,20,34,39,105
2026-02,monthly,Part_2,C_301,378852,4,0.9999894417872942,12,22,36,41,105
2026-02,monthly,Part_2,C_320,381409,28,0.9999265879934665,12,22,36,41,105
2026-02,monthly,Part_2,C_400,213567,0,1.0,14,26,39,43,105
2026-03,monthly,Part_2,C_999,7014835,154,0.9999780465256844,11,23,38,42,105
2026-03,monthly,Part_2,C_100,376204,7,0.9999813930739704,12,24,39,44,105
2026-03,monthly,Part_2,C_110,818003,34,0.9999584353602616,14,26,40,45,105
2026-03,monthly,Part_2,C_120,579154,22,0.9999620135577064,14,26,41,45,105
2026-03,monthly,Part_2,C_130,602030,4,0.9999933558128332,9,19,33,38,105
2026-03,monthly,Part_2,C_301,366257,4,0.999989078707028,10,20,35,39,105
2026-03,monthly,Part_2,C_320,374433,15,0.9999599394284158,10,20,35,39,105
2026-03,monthly,Part_2,C_400,205988,0,1.0,13,25,38,42,105
2026-04,monthly,Part_2,C_999,7093502,191,0.9999730739485236,11,23,38,43,105
2026-04,monthly,Part_2,C_100,381808,7,0.9999816661777648,12,25,40,44,105
2026-04,monthly,Part_2,C_110,819951,42,0.9999487774269438,13,26,41,45,105
2026-04,monthly,Part_2,C_120,588278,18,0.9999694022213989,14,27,41,45,105
