period,part,kind,code,name,total,open_count,closed_share,all_below_p99_identifiable,published_percentile_in_open_band
2025-09,Part_2,monthly,C_999,"England, all specialties",7296893,150,0.999979443306,True,False
2025-10,Part_2,monthly,C_100,General surgery,391493,9,0.999977011083,True,False
2025-10,Part_2,monthly,C_110,Trauma and orthopaedics,858898,30,0.999965071522,True,False
2025-10,Part_2,monthly,C_120,ENT,613974,25,0.999959281663,True,False
2025-10,Part_2,monthly,C_130,Ophthalmology,598593,5,0.999991647079,True,False
2025-10,Part_2,monthly,C_301,Gastroenterology,382448,0,1,True,False
2025-10,Part_2,monthly,C_320,Cardiology,387527,5,0.999987097673,True,False
2025-10,Part_2,monthly,C_400,Neurology,221595,2,0.999990974526,True,False
2025-10,Part_2,monthly,C_999,"England, all specialties",7304189,172,0.999976451869,True,False
2025-11,Part_2,monthly,C_100,General surgery,381272,15,0.999960658008,True,False
2025-11,Part_2,monthly,C_110,Trauma and orthopaedics,845411,40,0.999952685735,True,False
2025-11,Part_2,monthly,C_120,ENT,588429,24,0.999959213431,True,False
2025-11,Part_2,monthly,C_130,Ophthalmology,597880,3,0.999994982271,True,False
2025-11,Part_2,monthly,C_301,Gastroenterology,375368,2,0.999994671895,True,False
2025-11,Part_2,monthly,C_320,Cardiology,383624,2,0.999994786562,True,False
2025-11,Part_2,monthly,C_400,Neurology,216244,0,1,True,False
2025-11,Part_2,monthly,C_999,"England, all specialties",7159010,177,0.999975275911,True,False
2025-12,Part_2,monthly,C_100,General surgery,385548,8,0.999979250314,True,False
2025-12,Part_2,monthly,C_110,Trauma and orthopaedics,844356,14,0.999983419316,True,False
2025-12,Part_2,monthly,C_120,ENT,589602,73,0.999876187666,True,False
2025-12,Part_2,monthly,C_130,Ophthalmology,601191,2,0.99999667327,True,False
2025-12,Part_2,monthly,C_301,Gastroenterology,381239,14,0.999963277629,True,False
2025-12,Part_2,monthly,C_320,Cardiology,386709,22,0.999943109677,True,False
2025-12,Part_2,monthly,C_400,Neurology,219866,1,0.999995451775,True,False
2025-12,Part_2,monthly,C_999,"England, all specialties",7199624,223,0.99996902616,True,False
2026-01,Part_2,monthly,C_100,General surgery,386068,7,0.999981868479,True,False
2026-01,Part_2,monthly,C_110,Trauma and orthopaedics,836764,35,0.999958172197,True,False
2026-01,Part_2,monthly,C_120,ENT,587673,50,0.999914918671,True,False
2026-01,Part_2,monthly,C_130,Ophthalmology,596635,5,0.999991619667,True,False
2026-01,Part_2,monthly,C_301,Gastroenterology,383007,7,0.999981723572,True,False
2026-01,Part_2,monthly,C_320,Cardiology,383680,25,0.999934841535,True,False
2026-01,Part_2,monthly,C_400,Neurology,216423,0,1,True,False
2026-01,Part_2,monthly,C_999,"England, all specialties",7155958,200,0.999972051261,True,False
2026-02,Part_2,monthly,C_100,General surgery,384999,5,0.999987012953,True,False
2026-02,Part_2,monthly,C_110,Trauma and orthopaedics,829478,42,0.999949365746,True,False
2026-02,Part_2,monthly,C_120,ENT,586374,33,0.999943721925,True,False
2026-02,Part_2,monthly,C_130,Ophthalmology,600584,2,0.999996669908,True,False
2026-02,Part_2,monthly,C_301,Gastroenterology,378852,4,0.999989441787,True,False
2026-02,Part_2,monthly,C_320,Cardiology,381409,28,0.999926587993,True,False
2026-02,Part_2,monthly,C_400,Neurology,213567,0,1,True,False
2026-02,Part_2,monthly,C_999,"England, all specialties",7124952,189,0.999973473506,True,False
2026-03,Part_2,monthly,C_100,General surgery,376204,7,0.999981393074,True,False
2026-03,Part_2,monthly,C_110,Trauma and orthopaedics,818003,34,0.99995843536,True,False
2026-03,Part_2,monthly,C_120,ENT,579154,22,0.999962013558,True,False
2026-03,Part_2,monthly,C_130,Ophthalmology,602030,4,0.999993355813,True,False
2026-03,Part_2,monthly,C_301,Gastroenterology,366257,4,0.999989078707,True,False
2026-03,Part_2,monthly,C_320,Cardiology,374433,15,0.999959939428,True,False
2026-03,Part_2,monthly,C_400,Neurology,205988,0,1,True,False
2026-03,Part_2,monthly,C_999,"England, all specialties",7014835,154,0.999978046526,True,False
2026-04,Part_2,monthly,C_100,General surgery,381808,7,0.999981666178,True,False
2026-04,Part_2,monthly,C_110,Trauma and orthopaedics,819951,42,0.999948777427,True,False
2026-04,Part_2,monthly,C_120,ENT,588278,18,0.999969402221,True,False
2026-04,Part_2,monthly,C_130,Ophthalmology,610708,5,0.999991812781,True,False
2026-04,Part_2,monthly,C_301,Gastroenterology,371537,3,0.999991925434,True,False
2026-04,Part_2,monthly,C_320,Cardiology,377359,14,0.99996290005,True,False
2026-04,Part_2,monthly,C_400,Neurology,206659,1,0.999995161111,True,False
2026-04,Part_2,monthly,C_999,"England, all specialties",7093502,191,0.999973073949,True,False
2026-05,Part_2,monthly,C_100,General surgery,381497,7,0.999981651232,True,False
2026-05,Part_2,monthly,C_110,Trauma and orthopaedics,827960,46,0.99994444176,True,False
2026-05,Part_2,monthly,C_120,ENT,594331,12,0.999979809231,True,False
2026-05,Part_2,monthly,C_130,Ophthalmology,624531,5,0.999991993992,True,False
2026-05,Part_2,monthly,C_301,Gastroenterology,370047,4,0.999989190562,True,False
2026-05,Part_2,monthly,C_320,Cardiology,378421,0,1,True,False
2026-05,Part_2,monthly,C_400,Neurology,207581,0,1,True,False
2026-05,Part_2,monthly,C_999,"England, all specialties",7153655,177,0.999975257403,True,False
