period,sheet,row,code,p,n,band,official,linear_pN,difference
2024-01,Sub-ICB,296,C_502,0.5,22831,15,15.9974576271186,15.997457627118644,4.440892098500626e-14
2024-01,Sub-ICB,296,C_502,0.92,22831,43,43.9117073170732,43.91170731707317,-2.842170943040401e-14
2024-01,Sub-ICB,302,C_999,0.5,264725,15,15.8950744727916,15.895074472791624,2.3092638912203256e-14
2024-01,Sub-ICB,302,C_999,0.92,264725,44,44.2448110697179,44.24481106971793,3.552713678800501e-14
2024-01,Sub-ICB,303,C_100,0.5,6761,16,16.7961538461538,16.796153846153846,4.618527782440651e-14
2024-01,Sub-ICB,303,C_100,0.92,6761,52,52.2376470588235,52.237647058823526,2.842170943040401e-14
2024-01,Sub-ICB,304,C_101,0.5,11258,17,17.6514522821577,17.651452282157678,-2.1316282072803006e-14
2024-01,Sub-ICB,304,C_101,0.92,11258,54,54.2210810810811,54.22108108108109,-1.4210854715202004e-14
2024-01,Sub-ICB,305,C_110,0.5,12924,13,13.6445012787724,13.644501278772378,-2.3092638912203256e-14
2024-01,Sub-ICB,305,C_110,0.92,12924,40,40.6812371134021,40.68123711340206,-3.552713678800501e-14
2024-01,Sub-ICB,306,C_120,0.5,15946,17,17.3381088825215,17.33810888252149,-1.0658141036401503e-14
2024-01,Sub-ICB,306,C_120,0.92,15946,48,48.3232835820896,48.323283582089566,-3.552713678800501e-14
2024-01,Sub-ICB,307,C_130,0.5,10144,9,9.46021505376344,9.460215053763442,1.7763568394002505e-15
2024-01,Sub-ICB,307,C_130,0.92,10144,29,29.4715492957746,29.471549295774643,4.263256414560601e-14
2024-01,Sub-ICB,308,C_140,0.5,4205,14,14.3938053097345,14.393805309734514,1.4210854715202004e-14
2024-01,Sub-ICB,308,C_140,0.92,4205,44,44.5677419354839,44.56774193548388,-2.1316282072803006e-14
2024-01,Sub-ICB,309,C_150,0.5,1797,15,15.2659574468085,15.26595744680851,1.0658141036401503e-14
2024-01,Sub-ICB,309,C_150,0.92,1797,46,46.324,46.324,0.0
2024-01,Sub-ICB,310,C_160,0.5,1381,17,17.4342105263158,17.43421052631579,-7.105427357601002e-15
2024-01,Sub-ICB,310,C_160,0.92,1381,48,48.42,48.419999999999995,-7.105427357601002e-15
2024-01,Sub-ICB,311,C_170,0.5,46,4,5,5.0,0.0
2024-01,Sub-ICB,311,C_170,0.92,46,35,35.32,35.32,0.0
2024-01,Sub-ICB,312,C_300,0.5,1364,9,9.26388888888889,9.26388888888889,0.0
