period,kind,part,code,p50,p50_lower_shift,p50_midpoint_shift,p75_lower_shift,p75_midpoint_shift,p92,p92_lower_shift,p92_midpoint_shift,p95_lower_shift,p95_midpoint_shift
2025-04,monthly,Part_2,C_100,13.477978543195936,-0.4779785431959347,0.0220214568040653,-0.3740379681888157,0.1259620318111842,43.14483142161974,-0.1448314216197417,0.3551685783802583,-0.6498030634573269,-0.1498030634573268
2025-04,monthly,Part_2,C_110,14.522309944114255,-0.5223099441142551,-0.0223099441142551,-0.0090302018515693,0.4909697981484306,43.226955397543634,-0.2269553975436338,0.2730446024563662,-0.6265835511763527,-0.1265835511763526
2025-04,monthly,Part_2,C_120,17.093814269894004,-0.0938142698940041,0.4061857301059959,-0.4070093457943926,0.0929906542056073,46.724152744630075,-0.7241527446300751,-0.224152744630075,-0.6241650294695305,-0.1241650294695304
2025-04,monthly,Part_2,C_130,10.204422869471411,-0.2044228694714132,0.2955771305285868,-0.6600322614215841,-0.1600322614215841,37.2607055214724,-0.2607055214723957,0.2392944785276043,-0.5137691001697533,-0.0137691001697533
2025-04,monthly,Part_2,C_301,12.57304385210662,-0.5730438521066201,-0.0730438521066201,-0.8228082623777979,-0.3228082623777979,39.3467274503419,-0.346727450341902,0.153272549658098,-0.820932754880694,-0.3209327548806939
2025-04,monthly,Part_2,C_320,13.234425394669834,-0.2344253946698344,0.2655746053301655,-0.5163477474762708,-0.0163477474762707,40.344296392590195,-0.3442963925901949,0.155703607409805,-0.7254428341384838,-0.2254428341384837
2025-04,monthly,Part_2,C_400,15.645803314121038,-0.6458033141210375,-0.1458033141210375,-0.2693370165745854,0.2306629834254145,44.0908568496665,-0.0908568496665012,0.4091431503334988,-0.1579417293232978,0.3420582706767021
2025-05,monthly,Part_2,C_999,13.56979489010553,-0.5697948901055305,-0.0697948901055305,-0.7854906573768261,-0.2854906573768261,42.526729349836934,-0.5267293498369341,-0.026729349836934,-0.1793781203043991,0.3206218796956008
2025-05,monthly,Part_2,C_100,13.841527491086508,-0.8415274910865076,-0.3415274910865076,-0.4243726366448968,0.0756273633551032,43.214672670592314,-0.2146726705923143,0.2853273294076857,-0.761938018332593,-0.261938018332593
2025-05,monthly,Part_2,C_110,14.709806212873698,-0.7098062128736977,-0.2098062128736977,-0.1639017137491194,0.3360982862508805,43.57337985725615,-0.5733798572561497,-0.0733798572561497,-0.065162852112671,0.4348371478873289
2025-05,monthly,Part_2,C_120,17.308823529411764,-0.3088235294117645,0.1911764705882355,-0.7688015020340053,-0.2688015020340053,47.076945425991376,-0.0769454259913757,0.4230545740086242,-0.2043878787878696,0.2956121212121303
2025-05,monthly,Part_2,C_130,10.584881021474173,-0.5848810214741729,-0.0848810214741728,-0.5588111961421518,-0.0588111961421518,36.94669618696189,-0.9466961869618872,-0.446696186961887,-0.3877129394708092,0.1122870605291908
2025-05,monthly,Part_2,C_301,12.713863422157484,-0.713863422157484,-0.213863422157484,-0.7680257161458321,-0.2680257161458321,39.339516908212566,-0.3395169082125662,0.1604830917874338,-0.990166447656584,-0.4901664476565841
2025-05,monthly,Part_2,C_320,13.690406121247792,-0.6904061212477934,-0.1904061212477934,-0.7992573507123382,-0.2992573507123381,40.59334219269104,-0.5933421926910398,-0.0933421926910398,-0.046395131086129,0.453604868913871
2025-05,monthly,Part_2,C_400,15.78621659634318,-0.7862165963431789,-0.2862165963431788,-0.3374406175771973,0.1625593824228026,44.37826231322635,-0.3782623132263509,0.121737686773649,-0.4536433032616145,0.0463566967383854
2025-06,monthly,Part_2,C_999,13.397750439012574,-0.3977504390125741,0.1022495609874258,-0.6690338095911734,-0.1690338095911734,41.80654414023674,-0.8065441402367384,-0.3065441402367383,-0.8077038200151918,-0.3077038200151918
2025-06,monthly,Part_2,C_100,13.460025014431404,-0.4600250144314035,0.0399749855685964,-0.4003535541496106,0.0996464458503894,42.54457103637612,-0.5445710363761194,-0.0445710363761193,-0.3918234767025055,0.1081765232974945
2025-06,monthly,Part_2,C_110,14.379021103823671,-0.379021103823673,0.1209788961763269,-0.8695617014394301,-0.3695617014394301,43.045957930642416,-0.045957930642416,0.4540420693575839,-0.928903383611896,-0.428903383611896
2025-06,monthly,Part_2,C_120,17.228426056102297,-0.2284260561022968,0.2715739438977032,-0.4478445156621511,0.0521554843378488,46.69472796288486,-0.6947279628848619,-0.1947279628848619,-0.9689621726479132,-0.4689621726479132
2025-06,monthly,Part_2,C_130,10.333882748367914,-0.3338827483679143,0.1661172516320856,-0.3042311998507188,0.1957688001492812,36.45515284910736,-0.4551528491073568,0.0448471508926431,-0.4500872295882629,0.049912770411737
2025-06,monthly,Part_2,C_301,12.49772493131868,-0.4977249313186807,0.0022750686813193,-0.6644017368928914,-0.1644017368928914,39.096850068775794,-0.0968500687757938,0.4031499312242061,-0.7278856825749003,-0.2278856825749002
2025-06,monthly,Part_2,C_320,13.687938046205762,-0.6879380462057618,-0.1879380462057618,-0.7368816184605649,-0.2368816184605648,40.02693446088795,-0.0269344608879507,0.4730655391120493,-0.756707875457856,-0.256707875457856
2025-06,monthly,Part_2,C_400,15.352864583333334,-0.3528645833333339,0.147135416666666,-0.9051345816266833,-0.4051345816266831,43.739909149902665,-0.7399091499026653,-0.2399091499026653,-0.3018104776579378,0.1981895223420622
2025-07,monthly,Part_2,C_999,13.098968817940252,-0.0989688179402534,0.4010311820597465,-0.4317197655925859,0.068280234407414,41.79667619335026,-0.7966761933502582,-0.2966761933502582,-0.3634806453199459,0.136519354680054
2025-07,monthly,Part_2,C_100,13.04683908045977,-0.0468390804597707,0.4531609195402293,-0.7467532467532472,-0.2467532467532471,42.482466666666674,-0.4824666666666743,0.0175333333333256,-0.0952150797486695,0.4047849202513305
2025-07,monthly,Part_2,C_110,14.022744028310234,-0.0227440283102335,0.4772559716897664,-0.891868106078384,-0.3918681060783839,43.35269282814615,-0.3526928281461465,0.1473071718538534,-0.8057993407498927,-0.3057993407498927
2025-07,monthly,Part_2,C_120,17.612189677332072,-0.6121896773320721,-0.112189677332072,-0.9550537634408583,-0.4550537634408584,45.904144144144155,-0.9041441441441548,-0.4041441441441549,-0.6957526726379655,-0.1957526726379654
2025-07,monthly,Part_2,C_130,10.27226306181854,-0.2722630618185402,0.2277369381814598,-0.5486417198884581,-0.0486417198884581,36.09057099545225,-0.0905709954522464,0.4094290045477535,-0.1581859174470778,0.3418140825529221
2025-07,monthly,Part_2,C_301,11.929547395388555,-0.9295473953885568,-0.4295473953885569,-0.6613098323829263,-0.1613098323829263,39.32533333333334,-0.3253333333333401,0.1746666666666598,-0.7793805309734338,-0.2793805309734338
2025-07,monthly,Part_2,C_320,13.28743665909488,-0.2874366590948796,0.2125633409051204,-0.6705621301775153,-0.1705621301775153,39.84,-0.8400000000000034,-0.3400000000000034,-0.2146319569120365,0.2853680430879635
2025-07,monthly,Part_2,C_400,15.601671565025717,-0.6016715650257165,-0.1016715650257165,-0.9257529280535408,-0.4257529280535408,43.53511918274688,-0.5351191827468824,-0.0351191827468824,-0.8402173913043356,-0.3402173913043356
2025-08,monthly,Part_2,C_999,13.451539855072465,-0.4515398550724629,0.048460144927537,-0.9277511961722488,-0.4277511961722489,42.15704861304907,-0.1570486130490707,0.3429513869509293,-0.776851575589248,-0.276851575589248
2025-08,monthly,Part_2,C_100,13.42768411712511,-0.4276841171251107,0.0723158828748893,-0.19649676241076,0.3035032375892399,42.785094471658496,-0.7850944716584962,-0.2850944716584962,-0.4674568965517238,0.0325431034482761
2025-08,monthly,Part_2,C_110,14.410060353967866,-0.4100603539678662,0.0899396460321337,-0.224867148706334,0.2751328512936659,43.85818301514155,-0.8581830151415488,-0.3581830151415488,-0.2907544836116145,0.2092455163883855
2025-08,monthly,Part_2,C_120,17.92145606807591,-0.9214560680759084,-0.4214560680759085,-0.0039560874295325,0.4960439125704674,46.37424873382105,-0.374248733821048,0.1257512661789519,-0.5499589827727505,-0.0499589827727504
2025-08,monthly,Part_2,C_130,10.605893407864302,-0.6058934078643023,-0.1058934078643023,-0.008001321752264,0.4919986782477359,36.13880149812733,-0.1388014981273286,0.3611985018726713,-0.3407063197026119,0.1592936802973881
2025-08,monthly,Part_2,C_301,12.365344916566317,-0.3653449165663165,0.1346550834336835,-0.3093894100810956,0.1906105899189043,40.018197866862835,-0.0181978668628346,0.4818021331371653,-0.6284953703703664,-0.1284953703703664
2025-08,monthly,Part_2,C_320,13.604250334672022,-0.604250334672022,-0.104250334672022,-0.384635572885422,0.1153644271145779,40.44581913499345,-0.4458191349934495,0.0541808650065505,-0.7381290322580512,-0.2381290322580511
2025-08,monthly,Part_2,C_400,15.424332093337842,-0.424332093337842,0.0756679066621579,-0.2859068975305128,0.2140931024694872,43.83223039215687,-0.8322303921568732,-0.3322303921568732,-0.1380208333333357,0.3619791666666643
2025-09,monthly,Part_2,C_999,13.357978200639064,-0.3579782006390655,0.1420217993609345,-0.8475146373012912,-0.3475146373012912,41.81406993006994,-0.814069930069941,-0.314069930069941,-0.4143096183941139,0.085690381605886
