period,part,kind,code,name,release,total,within18_count,middle_count,over52_count,open_count,closed_share,within18_share,middle_share,over52_share,p50,p50_band_lower,p75,p75_band_lower,p92,p92_band_lower,p95,p95_band_lower,gap_weeks
2025-06,Part_2,monthly,C_400,Neurology,revised-or-established,222585,125636,90231,6718,1,0.999995507334,0.564440550801,0.405377720871,0.0301817283285,15.3528645833,15,28.9051345816,28,43.7399091499,43,48.3018104777,48,25.7399091499
2025-06,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7367836,4533070,2643011,191755,182,0.999975298039,0.615251208089,0.358722832593,0.0260259593183,13.397750439,13,25.6690338096,25,41.8065441402,41,46.80770382,46,23.8065441402
2025-07,Part_2,monthly,C_100,General surgery,revised-or-established,395120,241466,142547,11107,18,0.999954444219,0.611120672201,0.36076888034,0.028110447459,13.0468390805,13,25.7467532468,25,42.4824666667,42,47.0952150797,47,24.4824666667
2025-07,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,847453,498780,322240,26433,43,0.999949259723,0.588563613557,0.380245276139,0.0311911103035,14.0227440283,14,26.8918681061,26,43.3526928281,43,47.8057993407,47,25.3526928281
2025-07,Part_2,monthly,C_120,ENT,revised-or-established,628560,320013,281560,26987,15,0.99997613593,0.509120847652,0.447944508082,0.0429346442663,17.6121896773,17,30.9550537634,30,45.9041441441,45,50.6957526726,50,27.9041441441
2025-07,Part_2,monthly,C_130,Ophthalmology,revised-or-established,585619,410068,167353,8198,5,0.999991462026,0.700230013029,0.285771124229,0.0139988627418,10.2722630618,10,20.5486417199,20,36.0905709955,36,41.1581859174,41,18.0905709955
2025-07,Part_2,monthly,C_301,Gastroenterology,revised-or-established,374892,241775,126655,6462,62,0.999834619037,0.644919070026,0.337843965729,0.0172369642457,11.9295473954,11,23.6613098324,23,39.3253333333,39,43.779380531,43,21.3253333333
2025-07,Part_2,monthly,C_320,Cardiology,revised-or-established,388296,239231,142128,6937,1,0.999997424645,0.616104724231,0.366030038939,0.0178652368296,13.2874366591,13,24.6705621302,24,39.84,39,44.2146319569,44,21.84
2025-07,Part_2,monthly,C_400,Neurology,revised-or-established,218289,122110,89526,6653,0,1,0.559396030034,0.41012602559,0.0304779443765,15.601671565,15,27.9257529281,27,43.5351191827,43,47.8402173913,47,25.5351191827
2025-07,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7299023,4468469,2641138,189416,244,0.999966570868,0.612200975391,0.361848154198,0.025950870411,13.0989688179,13,25.4317197656,25,41.7966761934,41,46.3634806453,46,23.7966761934
2025-08,Part_2,monthly,C_100,General surgery,revised-or-established,395490,241613,142507,11370,20,0.999949429821,0.610920630104,0.360330223267,0.0287491466282,13.4276841171,13,26.1964967624,26,42.7850944717,42,47.4674568966,47,24.7850944717
2025-08,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,856471,504071,325607,26793,32,0.999962637381,0.588544153859,0.380172825466,0.0312830206744,14.410060354,14,27.2248671487,27,43.8581830151,43,48.2907544836,48,25.8581830151
2025-08,Part_2,monthly,C_120,ENT,revised-or-established,623636,312981,284501,26154,13,0.999979154507,0.501864869892,0.45619720478,0.0419379253282,17.9214560681,17,31.0039560874,31,46.3742487338,46,50.5499589828,50,28.3742487338
2025-08,Part_2,monthly,C_130,Ophthalmology,revised-or-established,587377,410068,169210,8099,2,0.999996595032,0.698134247681,0.288077333638,0.0137884186817,10.6058934079,10,21.0080013218,21,36.1388014981,36,41.3407063197,41,18.1388014981
2025-08,Part_2,monthly,C_301,Gastroenterology,revised-or-established,377569,241754,128863,6952,1,0.999997351477,0.640290913714,0.341296557715,0.0184125285709,12.3653449166,12,24.3093894101,24,40.0181978669,40,44.6284953704,44,22.0181978669
2025-08,Part_2,monthly,C_320,Cardiology,revised-or-established,386717,236366,143425,6926,0,1,0.611211816393,0.370878445995,0.0179097376117,13.6042503347,13,25.3846355729,25,40.445819135,40,44.7381290323,44,22.445819135
2025-08,Part_2,monthly,C_400,Neurology,revised-or-established,219135,122715,89720,6700,0,1,0.559997261962,0.409427978187,0.0305747598512,15.4243320933,15,28.2859068975,28,43.8322303922,43,48.1380208333,48,25.8322303922
2025-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7312356,4458454,2665200,188702,168,0.999977025189,0.609715117809,0.364478972304,0.0258059098873,13.4515398551,13,25.9277511962,25,42.157048613,42,46.7768515756,46,24.157048613
2025-09,Part_2,monthly,C_100,General surgery,revised-or-established,393730,243483,139321,10926,9,0.999977141696,0.618400934651,0.353849084398,0.0277499809514,13.3526457399,13,25.9806009576,25,42.4357371226,42,47.1605086372,47,24.4357371226
2025-09,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,860865,514085,320190,26590,34,0.999960504841,0.597172611269,0.371939851196,0.0308875375349,14.2083986942,14,26.8866658889,26,43.5644382972,43,48.1480110497,48,25.5644382972
2025-09,Part_2,monthly,C_120,ENT,revised-or-established,617531,316223,277471,23837,13,0.999978948425,0.512076316816,0.449323191872,0.0386004913114,17.4786058869,17,30.957673628,30,45.7681745885,45,50.078144572,50,27.7681745885
2025-09,Part_2,monthly,C_130,Ophthalmology,revised-or-established,589819,416582,166129,7108,3,0.999994913694,0.706287861191,0.281660984132,0.0120511546763,10.4370669174,10,20.3999124666,20,34.7077482045,34,40.4528347631,40,16.7077482045
2025-09,Part_2,monthly,C_301,Gastroenterology,revised-or-established,379599,247107,125878,6614,0,1,0.650968522046,0.331607828261,0.0174236496935,12.2886200017,12,24.1322021484,24,38.9826355047,38,44.1475254731,44,20.9826355047
2025-09,Part_2,monthly,C_320,Cardiology,revised-or-established,388454,242334,139232,6888,0,1,0.623842205255,0.358425965494,0.0177318292513,13.2644295302,13,25.2215415633,25,40.1400464962,40,44.5320392682,44,22.1400464962
2025-09,Part_2,monthly,C_400,Neurology,revised-or-established,219221,125336,88091,5794,1,0.999995438393,0.571733547425,0.40183650289,0.0264299496855,15.1865723765,15,27.8393710191,27,43.1173903002,43,47.1791471049,47,25.1173903002
2025-09,Part_2,monthly,C_999,"England, all specialties",revised-or-established,7296893,4505684,2612677,178532,150,0.999979443306,0.617479795853,0.358053352297,0.0244668518505,13.3579782006,13,25.8475146373,25,41.8140699301,41,46.4143096184,46,23.8140699301
2025-10,Part_2,monthly,C_100,General surgery,first-release,391493,239706,141573,10214,9,0.999977011083,0.612286809726,0.361623324044,0.02608986623,13.5227491343,13,25.6342727097,25,41.3354526889,41,46.8881054131,46,23.3354526889
2025-10,Part_2,monthly,C_110,Trauma and orthopaedics,first-release,858898,509729,322728,26441,30,0.999965071522,0.593468607448,0.37574659622,0.030784796332,14.33586975,14,26.4852600075,26,42.3568454683,42,48.0745127761,48,24.3568454683
2025-10,Part_2,monthly,C_120,ENT,first-release,613974,314759,277179,22036,25,0.999959281663,0.512658516484,0.451450712897,0.035890770619,17.4490287821,17,31.0506412198,31,45.3392466181,45,49.5655045421,49,27.3392466181
2025-10,Part_2,monthly,C_130,Ophthalmology,first-release,598593,424765,167483,6345,5,0.999991647079,0.709605692014,0.279794451322,0.0105998566639,10.1414761831,10,20.1618326731,20,34.5923694293,34,39.1282336791,39,16.5923694293
2025-10,Part_2,monthly,C_301,Gastroenterology,first-release,382448,249914,126253,6281,0,1,0.653458770866,0.330118081412,0.016423147722,12.1655872571,12,23.3513681592,23,38.3198911194,38,42.7839386189,42,20.3198911194
2025-10,Part_2,monthly,C_320,Cardiology,first-release,387527,243128,137874,6525,5,0.999987097673,0.627383382319,0.3557790812,0.0168375364813,13.1530188331,13,24.4349186011,24,38.8916635279,38,43.6271715721,43,20.8916635279
2025-10,Part_2,monthly,C_400,Neurology,first-release,221595,127668,88512,5415,2,0.999990974526,0.576132132945,0.399431395113,0.0244364719421,15.0044132918,15,27.3044513458,27,41.7028829847,41,46.8835641399,46,23.7028829847
2025-10,Part_2,monthly,C_999,"England, all specialties",first-release,7304189,4506981,2626449,170759,172,0.999976451869,0.617040577674,0.359581193751,0.0233782285754,13.3110657894,13,25.2771881407,25,40.551395717,40,46.0841068357,46,22.551395717
2025-11,Part_2,monthly,C_100,General surgery,first-release,381272,232483,139109,9680,15,0.999960658008,0.609756289473,0.364855011645,0.0253886988816,13.2521410579,13,25.6032990364,25,41.3442603153,41,45.795214447,45,23.3442603153
2025-11,Part_2,monthly,C_110,Trauma and orthopaedics,first-release,845411,500392,320045,24974,40,0.999952685735,0.591891990996,0.378567347716,0.0295406612878,14.1505255614,14,26.3017190132,26,42.0790534785,42,46.6165570641,46,24.0790534785
2025-11,Part_2,monthly,C_120,ENT,first-release,588429,305981,264086,18362,24,0.999959213431,0.519996465164,0.448798410683,0.0312051241526,17.0616826156,17,30.3272187822,30,43.8412200913,43,47.9357551487,47,25.8412200913
2025-11,Part_2,monthly,C_130,Ophthalmology,first-release,597880,422995,169249,5636,3,0.999994982271,0.70749146986,0.283081889342,0.00942664079748,9.98463468172,9,20.2793705956,20,34.7515444421,34,39.2216602202,39,16.7515444421
2025-11,Part_2,monthly,C_301,Gastroenterology,first-release,375368,243220,126323,5825,2,0.999994671895,0.647950810938,0.336531084163,0.0155181048997,11.9804831915,11,23.4719881011,23,38.3575182482,38,42.7252134831,42,20.3575182482
2025-11,Part_2,monthly,C_320,Cardiology,first-release,383624,241441,136653,5530,2,0.999994786562,0.629368861177,0.356215982316,0.0144151565074,12.6699150648,12,24.0520186335,24,38.4435987461,38,42.6451178451,42,20.4435987461
