period,part,kind,code,name,release,percentile,linear,lower_bound,midpoint,upper_bound,lower_minus_linear,midpoint_minus_linear
2024-06,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,50,15.3536100196,15,15.5,16,-0.353610019646,0.146389980354
2024-06,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,75,29.8888242393,29,29.5,30,-0.88882423929,-0.38882423929
2024-06,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,92,47.0348819607,47,47.5,48,-0.0348819607137,0.465118039286
2024-06,Part_2,monthly,C_110,Trauma and orthopaedics,revised-or-established,95,52.1595353928,52,52.5,53,-0.159535392848,0.340464607152
2024-06,Part_2,monthly,C_120,ENT,revised-or-established,50,17.9578439735,17,17.5,18,-0.957843973493,-0.457843973493
2024-06,Part_2,monthly,C_120,ENT,revised-or-established,75,32.7583759382,32,32.5,33,-0.758375938214,-0.258375938214
2024-06,Part_2,monthly,C_120,ENT,revised-or-established,92,50.1441812176,50,50.5,51,-0.144181217555,0.355818782445
2024-06,Part_2,monthly,C_120,ENT,revised-or-established,95,55.2525964813,55,55.5,56,-0.252596481271,0.247403518729
2024-06,Part_2,monthly,C_130,Ophthalmology,revised-or-established,50,11.4154157531,11,11.5,12,-0.415415753078,0.0845842469219
2024-06,Part_2,monthly,C_130,Ophthalmology,revised-or-established,75,22.787803241,22,22.5,23,-0.787803240963,-0.287803240963
2024-06,Part_2,monthly,C_130,Ophthalmology,revised-or-established,92,39.7820968908,39,39.5,40,-0.782096890817,-0.282096890817
