period,sheet,row,percentile,official,computed,lower,difference
2024-01,Sub-ICB,320,0.5,15.4620253164557,15.462025316455696,15,-3.552713678800501e-15
2024-01,Sub-ICB,320,0.92,47.3292,47.3292,47,0.0
2024-01,Sub-ICB,321,0.5,11.6296296296296,11.62962962962963,11,3.019806626980426e-14
2024-01,Sub-ICB,321,0.92,37.0998918918919,37.099891891891886,37,-1.4210854715202004e-14
2024-01,Sub-ICB,322,0.5,9.41666666666667,9.416666666666666,9,-3.552713678800501e-15
2024-01,Sub-ICB,322,0.92,31.28,31.28,31,0.0
2024-01,Sub-ICB,323,0.5,15.9344978165939,15.934497816593886,15,-1.4210854715202004e-14
2024-01,Sub-ICB,323,0.92,46.42,46.420000000000016,46,1.4210854715202004e-14
2024-01,Sub-ICB,324,0.5,15.171106557377,15.17110655737705,15,4.973799150320701e-14
2024-01,Sub-ICB,324,0.92,44.3523076923077,44.35230769230769,44,-7.105427357601002e-15
2024-01,Sub-ICB,325,0.5,8.25510204081633,8.255102040816327,8,-3.552713678800501e-15
2024-01,Sub-ICB,325,0.92,43.0072727272727,43.00727272727272,43,2.1316282072803006e-14
2024-01,Sub-ICB,326,0.5,13.8551113762928,13.855111376292761,13,-3.907985046680551e-14
2024-01,Sub-ICB,326,0.92,42.9005586592179,42.9005586592179,42,0.0
2024-01,Sub-ICB,327,0.5,14.960960960961,14.96096096096096,14,-3.907985046680551e-14
2024-01,Sub-ICB,327,0.92,43.6075,43.607499999999995,43,-7.105427357601002e-15
2024-01,Sub-ICB,328,0.5,15.3815789473684,15.381578947368421,15,2.1316282072803006e-14
2024-01,Sub-ICB,328,0.92,45.5922580645161,45.59225806451613,45,2.842170943040401e-14
2024-01,Sub-ICB,329,0.5,14.6870860927152,14.687086092715232,14,3.197442310920451e-14
2024-01,Sub-ICB,329,0.92,44.5815189873418,44.58151898734178,44,-2.1316282072803006e-14
2024-01,Sub-ICB,330,0.5,14.5598503740648,14.559850374064839,14,3.907985046680551e-14
2024-01,Sub-ICB,330,0.92,45.8841379310345,45.88413793103448,45,-2.1316282072803006e-14
2024-01,Sub-ICB,331,0.5,9.31437908496732,9.314379084967321,9,1.7763568394002505e-15
