period,part,kind,code,name,release,lower_week,upper_week,open_band,count,share,group
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,21,22,False,112841,0.0147663356702,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,22,23,False,118426,0.0154971869097,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,23,24,False,134719,0.0176292834622,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,24,25,False,134262,0.0175694805944,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,25,26,False,126760,0.0165877713735,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,26,27,False,120104,0.0157167694308,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,27,28,False,114827,0.0150262229686,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,28,29,False,105952,0.0138648434251,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,29,30,False,108207,0.0141599319739,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,30,31,False,103787,0.0135815322463,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,31,32,False,98467,0.0128853588185,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,32,33,False,93161,0.0121910174261,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,33,34,False,86147,0.0112731677226,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,34,35,False,59013,0.00772242152149,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,35,36,False,34802,0.0045541781267,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,36,37,False,73838,0.00966241608297,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,37,38,False,71988,0.00942032569924,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,38,39,False,69992,0.00915912980415,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,39,40,False,66914,0.0087563437495,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,40,41,False,64924,0.00849593301241,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,41,42,False,62199,0.00813934042017,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,42,43,False,59185,0.0077449293842,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,43,44,False,55260,0.0072313051917,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,44,45,False,50730,0.00663851090074,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,45,46,False,51023,0.00667685278314,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,46,47,False,48983,0.0064098990627,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,47,48,False,44576,0.00583320051077,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,48,49,False,42499,0.00556140498267,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,49,50,False,39037,0.00510836881593,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,50,51,False,36916,0.00483081546248,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,51,52,False,33891,0.00443496497018,middle
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,52,53,False,24315,0.00318185280015,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,53,54,False,27691,0.00362363503553,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,54,55,False,26508,0.00346882804961,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,55,56,False,25210,0.003298972202,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,56,57,False,23315,0.00305099313327,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,57,58,False,20578,0.00269283022502,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,58,59,False,18709,0.00244825350763,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,59,60,False,16869,0.00220747172057,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,60,61,False,15206,0.00198985209455,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,61,62,False,11042,0.00144495244167,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,62,63,False,10297,0.00134746198985,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,63,64,False,8990,0.00117642840524,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,64,65,False,8407,0.00110013721945,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,65,66,False,5029,0.000658093264731,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,66,67,False,6214,0.000813161969982,over52
2024-08,Part_2,monthly,C_999,"England, all specialties",revised-or-established,67,68,False,5658,0.000740403995198,over52
