specialty_code,specialty,floor,lag_months,n_pairs,mean_spearman,min_spearman,max_spearman,mean_n_providers,panel
C_120,"Ear, Nose and Throat",1000,7,22,0.7373360631956192,0.560299903779283,0.8122362266236054,108.0,balanced
C_120,"Ear, Nose and Throat",1000,8,21,0.7071587578318266,0.5314336886831099,0.7828269837186925,108.0,balanced
C_120,"Ear, Nose and Throat",1000,9,20,0.6823654100812637,0.5020244457781969,0.7607724332409234,108.0,balanced
C_120,"Ear, Nose and Throat",1000,10,19,0.6599211882631784,0.48646717539798223,0.7444149113530919,108.0,balanced
C_120,"Ear, Nose and Throat",1000,11,18,0.639057460387021,0.47267236369525656,0.7349357417092991,108.0,balanced
C_120,"Ear, Nose and Throat",1000,12,17,0.6193167712653668,0.4560004572865758,0.7048119885297283,108.0,balanced
C_120,"Ear, Nose and Throat",1000,13,16,0.598569669515181,0.46270732706469647,0.6715253365343393,108.0,balanced
C_120,"Ear, Nose and Throat",1000,14,15,0.5763271631401614,0.4554097954595253,0.647717854182743,108.0,balanced
C_120,"Ear, Nose and Throat",1000,15,14,0.5539298745592152,0.45426657902007295,0.6370668876885116,108.0,balanced
C_120,"Ear, Nose and Throat",1000,16,13,0.5327747695063138,0.450770242076081,0.6093724694427771,108.0,balanced
C_120,"Ear, Nose and Throat",1000,17,12,0.5086114366102361,0.4162927396229291,0.5864414530280946,108.0,balanced
C_120,"Ear, Nose and Throat",1000,18,11,0.48686470293260997,0.4027360980117561,0.561957567616489,108.0,balanced
C_120,"Ear, Nose and Throat",1000,19,10,0.47166156982670737,0.3945906808806577,0.5452951880114703,108.0,balanced
C_120,"Ear, Nose and Throat",1000,20,9,0.45551988296850965,0.3888745986833957,0.5163337048786761,108.0,balanced
C_120,"Ear, Nose and Throat",1000,21,8,0.4523731267922299,0.38423504529995145,0.5257176064858479,108.0,balanced
C_120,"Ear, Nose and Throat",1000,22,7,0.4550436940045102,0.3874074709194318,0.5247744529232997,108.0,balanced
C_120,"Ear, Nose and Throat",1000,23,6,0.45423482300786594,0.38779806986957804,0.5043489858717501,108.0,balanced
C_120,"Ear, Nose and Throat",1000,24,5,0.4539445730562939,0.39612449627025637,0.47942686749168784,108.0,balanced
C_120,"Ear, Nose and Throat",1000,25,4,0.4519777644402526,0.41872207455676547,0.48499052083035615,108.0,balanced
C_120,"Ear, Nose and Throat",1000,26,3,0.45086233451148133,0.4254479979422104,0.4809416292739623,108.0,balanced
C_120,"Ear, Nose and Throat",1000,27,2,0.4589537664218277,0.44682614535997023,0.4710813874836853,108.0,balanced
C_120,"Ear, Nose and Throat",1000,28,1,0.43242161822287,0.43242161822287,0.43242161822287,108.0,balanced
C_110,Trauma and Orthopaedics,1000,1,28,0.9835440305283408,0.9672483221476511,0.9904529090181786,150.0,balanced
C_110,Trauma and Orthopaedics,1000,2,27,0.9630143891168826,0.9367723009911553,0.9832348104360195,150.0,balanced
C_110,Trauma and Orthopaedics,1000,3,26,0.9411750949614853,0.9016489621760968,0.9690759589315081,150.0,balanced
C_110,Trauma and Orthopaedics,1000,4,25,0.9184711853860172,0.8707853682385884,0.9534414862882795,150.0,balanced
C_110,Trauma and Orthopaedics,1000,5,24,0.8979640576618221,0.841891639628428,0.9379279079070182,150.0,balanced
C_110,Trauma and Orthopaedics,1000,6,23,0.8796778987278663,0.8207600337792792,0.9190719587537225,150.0,balanced
C_110,Trauma and Orthopaedics,1000,7,22,0.8614209116364768,0.812649451086715,0.891938308369261,150.0,balanced
C_110,Trauma and Orthopaedics,1000,8,21,0.8439835844556055,0.8037210542690788,0.8685950486688299,150.0,balanced
C_110,Trauma and Orthopaedics,1000,9,20,0.8278295035334903,0.7953117916351837,0.8569394195297569,150.0,balanced
C_110,Trauma and Orthopaedics,1000,10,19,0.8132144352614502,0.7689426196719854,0.8493515267345216,150.0,balanced
C_110,Trauma and Orthopaedics,1000,11,18,0.7998287331288798,0.753912618338593,0.8318396373172142,150.0,balanced
C_110,Trauma and Orthopaedics,1000,12,17,0.7871673250837292,0.747843015245122,0.8161304946886528,150.0,balanced
C_110,Trauma and Orthopaedics,1000,13,16,0.7770887595004223,0.7507480332459222,0.8065869594204188,150.0,balanced
C_110,Trauma and Orthopaedics,1000,14,15,0.7658209401899344,0.7416596293168586,0.7988959509311526,150.0,balanced
C_110,Trauma and Orthopaedics,1000,15,14,0.7534704399560617,0.7210187119427531,0.7842428552380106,150.0,balanced
C_110,Trauma and Orthopaedics,1000,16,13,0.7408675257361866,0.7082145873149918,0.7814445086448287,150.0,balanced
C_110,Trauma and Orthopaedics,1000,17,12,0.7271674296635405,0.7022125427796791,0.7710120449797769,150.0,balanced
C_110,Trauma and Orthopaedics,1000,18,11,0.713001870790217,0.6861691630739145,0.7518147473221033,150.0,balanced
C_110,Trauma and Orthopaedics,1000,19,10,0.6984694430863593,0.6790719587537224,0.727877683452598,150.0,balanced
C_110,Trauma and Orthopaedics,1000,20,9,0.6845864754482915,0.6675905595804258,0.7048188808391485,150.0,balanced
C_110,Trauma and Orthopaedics,1000,21,8,0.6719663096137607,0.6469034179296858,0.6855255789146185,150.0,balanced
C_110,Trauma and Orthopaedics,1000,22,7,0.6584381528067915,0.6424018845282014,0.6673736610516023,150.0,balanced
C_110,Trauma and Orthopaedics,1000,23,6,0.6457549224409974,0.6320120894261968,0.6627583448153251,150.0,balanced
C_110,Trauma and Orthopaedics,1000,24,5,0.6354661096048714,0.6247442108538158,0.6496519845326459,150.0,balanced
C_110,Trauma and Orthopaedics,1000,25,4,0.6250348904395752,0.6205804702431219,0.6271443175252234,150.0,balanced
C_110,Trauma and Orthopaedics,1000,26,3,0.6166075529282783,0.6128076803413485,0.6196239832881462,150.0,balanced
C_110,Trauma and Orthopaedics,1000,27,2,0.606867860793813,0.603363705053558,0.6103720165340681,150.0,balanced
C_110,Trauma and Orthopaedics,1000,28,1,0.5943570825370017,0.5943570825370017,0.5943570825370017,150.0,balanced
