specialty_code,specialty,floor,lag_months,n_pairs,mean_spearman,min_spearman,max_spearman,mean_n_providers
C_301,Gastroenterology,1000,24,5,0.5989374305967258,0.5531153343775269,0.644391380314502,101.6
C_301,Gastroenterology,1000,25,4,0.5709145975991088,0.5455454026270703,0.6184041933605124,101.5
C_301,Gastroenterology,1000,26,3,0.5381989358273348,0.5197320908561444,0.555761629846594,101.33333333333333
C_301,Gastroenterology,1000,27,2,0.5130163604595753,0.5005241700640651,0.5255085508550855,100.5
C_301,Gastroenterology,1000,28,1,0.5034623462346234,0.5034623462346234,0.5034623462346234,100.0
C_130,Ophthalmology,1000,1,28,0.9771018387837185,0.9399146580555876,0.989251528082113,111.35714285714286
C_130,Ophthalmology,1000,2,27,0.9469469240769196,0.8890212651171155,0.9769222980498574,110.77777777777777
C_130,Ophthalmology,1000,3,26,0.9110878191860737,0.8313185512506905,0.9452780397648785,110.3076923076923
C_130,Ophthalmology,1000,4,25,0.874665121944932,0.7829448573337924,0.9198319471834004,109.68
C_130,Ophthalmology,1000,5,24,0.8424016505858729,0.7640255768696136,0.89618642049406,109.16666666666667
C_130,Ophthalmology,1000,6,23,0.8112771809796853,0.7345714951094552,0.8794941123454613,108.69565217391305
C_130,Ophthalmology,1000,7,22,0.7839358392536728,0.6992004646871903,0.8596367483688945,108.22727272727273
C_130,Ophthalmology,1000,8,21,0.7504101289562337,0.6600951243153078,0.8246920422198151,107.76190476190476
C_130,Ophthalmology,1000,9,20,0.7194840731813745,0.6423542637209789,0.7806282590623977,107.45
C_130,Ophthalmology,1000,10,19,0.6950024629470216,0.6223148920396628,0.7378441695846034,107.15789473684211
C_130,Ophthalmology,1000,11,18,0.6734095086697279,0.6253551205940555,0.7004710683426959,106.77777777777777
C_130,Ophthalmology,1000,12,17,0.6511863080117908,0.6107863010775633,0.6793913897775651,106.52941176470588
C_130,Ophthalmology,1000,13,16,0.6273008033851615,0.5670649738610904,0.6563216363956975,106.1875
C_130,Ophthalmology,1000,14,15,0.598103255378868,0.4846464855898818,0.644125080820549,106.06666666666666
C_130,Ophthalmology,1000,15,14,0.5655295964743428,0.46046300728014716,0.6225533415623348,105.78571428571429
C_130,Ophthalmology,1000,16,13,0.5366618399062069,0.450116577519152,0.6039303277885538,105.61538461538461
C_130,Ophthalmology,1000,17,12,0.513270219351584,0.4445158614969935,0.5796861223770058,105.75
C_130,Ophthalmology,1000,18,11,0.49220599261960735,0.4357054689271229,0.5596241529586619,105.81818181818181
C_130,Ophthalmology,1000,19,10,0.47452539488785045,0.4301318599502341,0.5399232842629069,105.9
C_130,Ophthalmology,1000,20,9,0.4579173160062228,0.42176464312386647,0.5278146381919967,106.11111111111111
C_130,Ophthalmology,1000,21,8,0.44695150675308454,0.41913746630727755,0.5064793696869169,106.25
C_130,Ophthalmology,1000,22,7,0.44049573777498136,0.4093357180643374,0.4648361337128751,106.14285714285714
C_130,Ophthalmology,1000,23,6,0.4445835035149089,0.4041665617049148,0.4719626168224299,106.33333333333333
C_130,Ophthalmology,1000,24,5,0.4485573776915691,0.40764289492908784,0.4773702462822547,106.6
C_130,Ophthalmology,1000,25,4,0.45197277227562893,0.4341738670428496,0.4802210074648798,106.0
C_130,Ophthalmology,1000,26,3,0.46246774444623145,0.44751492556112554,0.4829735244476912,105.66666666666667
C_130,Ophthalmology,1000,27,2,0.4833332202976005,0.4768712419655816,0.4897951986296194,105.5
C_130,Ophthalmology,1000,28,1,0.48783951897159444,0.48783951897159444,0.48783951897159444,105.0
C_120,"Ear, Nose and Throat",1000,1,28,0.9688093548681395,0.9101633393829401,0.9861850422516469,113.17857142857143
C_120,"Ear, Nose and Throat",1000,2,27,0.9273799289175509,0.803779689102817,0.9661238272672833,112.88888888888889
C_120,"Ear, Nose and Throat",1000,3,26,0.8819561573090259,0.7564791403286979,0.9278111866607441,112.6923076923077
C_120,"Ear, Nose and Throat",1000,4,25,0.8389112789446724,0.7011395086616325,0.8930401224299688,112.44
C_120,"Ear, Nose and Throat",1000,5,24,0.8027249699175644,0.6293416062279593,0.869602102601637,112.20833333333333
C_120,"Ear, Nose and Throat",1000,6,23,0.7701143628599887,0.5929975429975429,0.8441762592321513,112.1304347826087
C_120,"Ear, Nose and Throat",1000,7,22,0.7384481652053739,0.5342450541565587,0.814616740967463,112.0909090909091
C_120,"Ear, Nose and Throat",1000,8,21,0.7121590856062022,0.5242679468343185,0.791112857484539,111.95238095238095
C_120,"Ear, Nose and Throat",1000,9,20,0.6905579757815941,0.5110875730344757,0.7676640926640926,111.8
C_120,"Ear, Nose and Throat",1000,10,19,0.6697505294835655,0.5054754501657157,0.750974025974026,111.63157894736842
C_120,"Ear, Nose and Throat",1000,11,18,0.6493406359019461,0.49401202719786785,0.7425061425061426,111.44444444444444
C_120,"Ear, Nose and Throat",1000,12,17,0.6299234559775945,0.48709297160624593,0.7072920322920323,111.3529411764706
C_120,"Ear, Nose and Throat",1000,13,16,0.6078566797861015,0.4827395577395577,0.6783783783783783,111.25
C_120,"Ear, Nose and Throat",1000,14,15,0.5864212951364856,0.4729932601492235,0.6548245464174669,111.13333333333334
C_120,"Ear, Nose and Throat",1000,15,14,0.5654750136942516,0.46369778869778866,0.6446168039088392,111.21428571428571
C_120,"Ear, Nose and Throat",1000,16,13,0.5450858661014285,0.4677456438924329,0.6233032803247057,111.15384615384616
C_120,"Ear, Nose and Throat",1000,17,12,0.521762642251654,0.4365394585578072,0.5975956475956476,111.08333333333333
C_120,"Ear, Nose and Throat",1000,18,11,0.49987808775976633,0.4286679536679536,0.5840280862404755,111.0
C_120,"Ear, Nose and Throat",1000,19,10,0.48272943659299905,0.40318532818532815,0.5642959647384426,110.9
C_120,"Ear, Nose and Throat",1000,20,9,0.4647479321913031,0.39763952263952257,0.526123201123201,110.88888888888889
C_120,"Ear, Nose and Throat",1000,21,8,0.4596662957206311,0.3954241146901697,0.5384433134433133,110.875
C_120,"Ear, Nose and Throat",1000,22,7,0.4619666014651459,0.3965421635146406,0.5347490347490347,110.85714285714286
C_120,"Ear, Nose and Throat",1000,23,6,0.4615803194261829,0.3964339652413047,0.5085380835380835,111.0
C_120,"Ear, Nose and Throat",1000,24,5,0.46346163431086707,0.40451276965038435,0.4914579560597259,111.0
C_120,"Ear, Nose and Throat",1000,25,4,0.4640682369816899,0.42784753059982417,0.49612965759754746,111.0
C_120,"Ear, Nose and Throat",1000,26,3,0.46432749383346117,0.4354819421191103,0.5013952263952264,111.0
C_120,"Ear, Nose and Throat",1000,27,2,0.47439013689013687,0.4647595647595647,0.484020709020709,111.0
C_120,"Ear, Nose and Throat",1000,28,1,0.4446911196911197,0.4446911196911197,0.4446911196911197,111.0
C_110,Trauma and Orthopaedics,1000,1,28,0.984120987116327,0.961998679286815,0.9906383344890948,172.17857142857142
C_110,Trauma and Orthopaedics,1000,2,27,0.9640730019704088,0.9232643298499387,0.9818813320003712,170.85185185185185
C_110,Trauma and Orthopaedics,1000,3,26,0.9423940241661231,0.8775160781372707,0.9663243251451452,170.03846153846155
C_110,Trauma and Orthopaedics,1000,4,25,0.9200149700640361,0.8551899584803323,0.943600735217787,169.28
C_110,Trauma and Orthopaedics,1000,5,24,0.9012614065902668,0.8384781014237435,0.9264332952115759,168.5
C_110,Trauma and Orthopaedics,1000,6,23,0.883854678114378,0.8146689826020103,0.9123122372784302,167.82608695652175
C_110,Trauma and Orthopaedics,1000,7,22,0.8671831884513422,0.8054822497836202,0.8970908022333237,167.1818181818182
C_110,Trauma and Orthopaedics,1000,8,21,0.8500584009437789,0.7752422632073918,0.8818467481941968,166.52380952380952
C_110,Trauma and Orthopaedics,1000,9,20,0.8343538198918716,0.7647132348952769,0.8601390230299402,165.9
C_110,Trauma and Orthopaedics,1000,10,19,0.8201709578463338,0.7483698804965774,0.8484812865653302,165.05263157894737
C_110,Trauma and Orthopaedics,1000,11,18,0.8089638827292731,0.752162530387626,0.837642771758536,164.55555555555554
C_110,Trauma and Orthopaedics,1000,12,17,0.7972543184813016,0.7564208051719072,0.8312410646366367,163.88235294117646
C_110,Trauma and Orthopaedics,1000,13,16,0.7863273619272988,0.7393167918054797,0.8175394076904706,163.1875
C_110,Trauma and Orthopaedics,1000,14,15,0.7736157229315711,0.7277053783569731,0.8089503224265584,162.46666666666667
C_110,Trauma and Orthopaedics,1000,15,14,0.7591530667704942,0.6984063447864354,0.7907536064768261,161.57142857142858
C_110,Trauma and Orthopaedics,1000,16,13,0.7458465121082766,0.6962779807307621,0.7693605206591831,161.0
C_110,Trauma and Orthopaedics,1000,17,12,0.7330698007985674,0.68916689022631,0.7574904466204921,160.33333333333334
C_110,Trauma and Orthopaedics,1000,18,11,0.7203364411431341,0.6769693909005647,0.7476803200382136,159.8181818181818
C_110,Trauma and Orthopaedics,1000,19,10,0.7067394654072473,0.6729422006991961,0.7303439587483885,159.3
C_110,Trauma and Orthopaedics,1000,20,9,0.695100909391156,0.6764815829331959,0.7176414768806074,158.88888888888889
C_110,Trauma and Orthopaedics,1000,21,8,0.6837809675194968,0.6571066951239734,0.7061144966600258,158.375
C_110,Trauma and Orthopaedics,1000,22,7,0.6727564836251559,0.6546940104265705,0.6947292863002461,158.14285714285714
C_110,Trauma and Orthopaedics,1000,23,6,0.6609325514453487,0.6466115357057559,0.6710845391003417,158.0
C_110,Trauma and Orthopaedics,1000,24,5,0.6498767402921514,0.63881412468369,0.6628638232685641,158.4
C_110,Trauma and Orthopaedics,1000,25,4,0.6391228642432076,0.6310166895106022,0.6464722162241501,159.0
C_110,Trauma and Orthopaedics,1000,26,3,0.6314270951823061,0.6298476175118922,0.632803384452027,159.33333333333334
C_110,Trauma and Orthopaedics,1000,27,2,0.622389982110232,0.6115506329113924,0.6332293313090716,158.5
C_110,Trauma and Orthopaedics,1000,28,1,0.6162765703367566,0.6162765703367566,0.6162765703367566,159.0
